,County,Median Price % Increase,Median Price Increase,Median Home Price (2023),Median Household Income,Pop Growth % from 2020-2023,Pop Growth from 2020-2023,Latitude,Longitude
156,"Gem County, Idaho",79.55801104972375,144000.0,325000.0,60771.0,9.334786218347872,1799,44.0123019,-116.3846609
43,"Canyon County, Idaho",71.5481171548117,171000.0,410000.0,70594.0,10.583529674310029,24661,43.6435692,-116.7017144
124,"Boise County, Idaho",71.5481171548117,171000.0,410000.0,74121.0,11.129958246346547,853,43.9873519,-115.7390188
25,"Travis County, Texas",66.12903225806451,205000.0,515000.0,95151.0,2.9575517135799174,38348,30.2878569,-97.7561392
115,"Tooele County, Utah",63.02334197851056,170100.0,440000.0,91353.0,11.854679299297928,8696,40.4062872,-113.1966394
128,"Bonner County, Idaho",61.71003717472118,166000.0,435000.0,64860.0,10.85163386283567,5144,48.2663565,-116.5952716
122,"Iron County, Utah",61.01694915254237,144000.0,380000.0,66499.0,11.259161713998594,6498,37.8546136,-113.2867347
110,"Bastrop County, Texas",60.37735849056605,160000.0,425000.0,73403.0,12.973066685703216,12721,30.0541116,-97.3887764
27,"Hays County, Texas",60.37735849056605,160000.0,425000.0,89074.0,14.96835650577124,36518,30.0447901,-98.0393127
7,"Williamson County, Texas",60.37735849056605,160000.0,425000.0,101891.0,13.262730037429819,81639,30.6580927,-97.6041649
66,"Montgomery County, Tennessee",57.73809523809524,97000.0,265000.0,67478.0,8.401534700222797,18591,36.4803824,-87.3786221
17,"Pinal County, Arizona",57.02479338842977,138000.0,380000.0,76232.0,12.56476834492905,54052,32.8162,-111.2845
0,"Maricopa County, Arizona",56.312625250501014,140500.0,390000.0,83668.0,3.1678319680346334,140812,33.2918,-112.4291
59,"Washington County, Utah",56.299840510366835,176500.0,490000.0,75572.0,11.228195478394639,20437,37.2393471,-113.525776
146,"Walton County, Georgia",55.660377358490564,118000.0,330000.0,83037.0,9.82317462277939,9544,33.762884,-83.740416
139,"Limestone County, Alabama",55.367231638418076,98000.0,275000.0,83159.0,10.02946172375077,10451,34.8342463,-86.9901321
52,"Madison County, Alabama",55.12640449438203,98125.0,276125.0,80426.0,5.658599293731427,22097,34.7736807,-86.5675095
149,"Lincoln County, North Carolina",53.63073110285006,108200.0,309950.0,78615.0,9.693877551020407,8455,35.4866424,-81.2062724
70,"Pima County, Arizona",53.19148936170214,100000.0,288000.0,64007.0,1.7209558207955666,17987,32.0575,-111.6661
41,"Gwinnett County, Georgia",53.15315315315314,118000.0,340000.0,83918.0,2.6260514066231906,25167,33.9566869,-84.0227467
138,"Jefferson County, Idaho",53.061224489795904,130000.0,375000.0,76474.0,10.032175032175033,3118,43.8010248,-112.3498022
132,"Barrow County, Georgia",52.38095238095238,110000.0,320000.0,77583.0,10.491658827591948,8811,33.9848611,-83.6996482
92,"Paulding County, Georgia",52.38095238095238,110000.0,320000.0,87459.0,8.010378582380014,13584,33.8908526,-84.8569161
113,"Jasper County, Georgia",52.38095238095238,110000.0,320000.0,63718.0,12.228891010776152,1793,33.3254635,-83.6868559
19,"Mecklenburg County, North Carolina",51.8987341772152,123000.0,360000.0,80645.0,4.141493418338456,46278,35.2356385,-80.8139485
16,"Utah County, Utah",51.384848484848476,169570.0,499570.0,95085.0,8.375439839058458,55579,40.177058,-111.69107185434031
11,"Lee County, Florida",51.01092261213108,109750.0,324900.0,71607.0,9.016559401316954,69026,26.5999265,-81.8823135
135,"Juab County, Utah",50.9620353202225,167660.0,496650.0,94181.0,10.186987054742374,1204,39.6949628,-112.8342117
63,"Knox County, Tennessee",50.684931506849324,92500.0,275000.0,70013.0,4.194033081104493,20153,35.9859998,-83.9375598
10,"Hillsborough County, Florida",50.2767441860465,108095.0,323095.0,74091.0,4.726940402590273,69309,27.9184543,-82.3488057
155,"Union County, Georgia",50.22533800701052,100300.0,300000.0,64588.0,9.362148213853729,2322,34.8180274,-83.9903969
69,"Charlotte County, Florida",50.07954215734338,100106.0,300000.0,65040.0,9.648660868640107,18139,26.9013269,-81.9156799
44,"Benton County, Arkansas",49.86388888888888,89755.0,269755.5,86374.0,8.511328667424948,24395,36.3456186,-94.2670404
117,"Boundary County, Idaho",49.0,98000.0,298000.0,62801.0,11.68135760771068,1418,48.7846346,-116.4339511
31,"Sarasota County, Florida",48.888888888888886,110000.0,335000.0,78309.0,7.513347102607071,32776,27.1813609,-82.3609195
88,"York County, South Carolina",48.61751152073731,105500.0,322500.0,83692.0,5.031898263551483,14292,34.9603293,-81.1655408
72,"Hernando County, Florida",48.571428571428584,102000.0,312000.0,60582.0,8.783687073160749,17183,28.5710156,-82.4605068
13,"Pasco County, Florida",48.571428571428584,102000.0,312000.0,65933.0,11.805933346992688,66840,28.2996183,-82.4522702
68,"Cherokee County, Georgia",48.52535539995756,114350.0,350000.0,99932.0,6.878831724816891,18446,34.2391265,-84.4720272
20,"Horry County, South Carolina",48.11904761904762,90945.0,279945.0,61375.0,12.356507851257192,43713,33.9204504,-78.9578973
90,"Hall County, Georgia",48.118686868686865,95275.0,293275.0,76789.0,6.779277840303138,13794,34.2905901,-83.8194028
73,"Union County, North Carolina",47.82608695652172,110000.0,340000.0,95079.0,7.091493715287925,16982,34.9795158,-80.5128209
89,"Santa Rosa County, Florida",47.25,94500.0,294500.0,82537.0,7.486865843786859,14151,30.6964502,-87.0097524
29,"Volusia County, Florida",47.05882352941177,88000.0,275000.0,64601.0,6.222111066328878,34581,29.0533409,-81.1310761
158,"Monroe County, Georgia",46.916666666666686,84450.0,264450.0,76428.0,9.152796093666467,2568,33.0142344,-83.9044159
82,"Williamson County, Tennessee",46.66666666666666,175000.0,550000.0,133486.0,5.973905238186845,14908,35.8772991,-86.8978708
97,"Dawson County, Georgia",46.45644065081581,101505.0,320000.0,84551.0,17.26966998041317,4673,34.4077085,-84.1356771
143,"Loudon County, Tennessee",46.27659574468086,87000.0,275000.0,79683.0,9.907671098695786,5462,35.7490023,-84.320293
28,"Brevard County, Florida",45.12820512820511,88000.0,283000.0,74899.0,5.782760461582683,35204,28.2100203,-80.7997185
47,"Rutherford County, Tennessee",45.05579068872643,117100.0,377000.0,77320.0,6.933626179004833,23803,35.8563421,-86.4205249
100,"Jackson County, Georgia",44.92089343880875,96535.0,311435.0,82138.0,15.487873219428906,11884,34.1282559,-83.5753386
98,"Custer County, Colorado",44.634146341463406,91500.0,296500.0,67766.0,17.17128943468134,811,38.1072962,-105.3543375
15,"Wake County, North Carolina",44.473874307729346,120055.0,390000.0,97099.0,5.289066708654616,59792,35.7979355,-78.6118311
50,"Hamilton County, Indiana",44.44444444444443,100000.0,325000.0,117068.0,6.48975919494778,22649,40.0749813,-86.0498885
79,"Flagler County, Florida",44.31818181818181,97500.0,317500.0,73336.0,13.282138794084204,15411,29.4844412,-81.2917415
54,"Brunswick County, North Carolina",43.91387559808612,100958.0,330858.0,73536.0,15.774998552486835,21796,34.0718195,-78.1914215
83,"Snohomish County, Washington",43.64640883977901,197500.0,650000.0,101440.0,1.7866502476705932,14828,48.0074736,-121.7304882
45,"Johnston County, North Carolina",43.548387096774206,108000.0,356000.0,80612.0,11.086369646661282,24147,35.5285816,-78.3768021
121,"Franklin County, North Carolina",43.548387096774206,108000.0,356000.0,72415.0,11.331039268983872,7837,36.1028596,-78.2787229
84,"Washington County, Arkansas",43.52641698486201,80365.0,265000.0,62100.0,5.987259597850667,14775,35.9672625,-94.2280656
37,"Spartanburg County, South Carolina",43.17901234567901,69950.0,231950.0,58535.0,8.294092823161165,27319,34.937029,-81.9955954
38,"Collier County, Florida",43.150000000000006,129450.0,429450.0,81821.0,7.155919535660331,27000,26.087964,-81.3794941
56,"Bell County, Texas",43.125,69000.0,229000.0,62412.0,5.62378780308282,20935,31.0081659,-97.4314413
126,"Lincoln County, Montana",42.85714285714286,81000.0,270000.0,48432.0,10.950643559339213,2161,48.5881,-115.6597
93,"Clay County, Florida",42.36453201970443,86000.0,289000.0,84364.0,6.160282437623039,13488,29.9766524,-81.8470596
114,"Lancaster County, South Carolina",42.13821989528796,80484.0,271484.5,70113.0,12.03772725390317,11627,34.6628067,-80.700546
107,"Wise County, Texas",41.83673469387753,102500.0,347500.0,80096.0,13.271063280490807,9150,33.2139213,-97.6563925
9,"Riverside County, California",41.721191136909454,147489.0,501000.0,86350.0,2.866248478637786,69449,33.7219991,-116.0372472
46,"Parker County, Texas",41.509433962264154,110000.0,375000.0,95277.0,16.00914731999572,23942,32.77725975,-97.80455986920202
32,"Marion County, Florida",41.29775621588843,68100.0,233000.0,54517.0,8.606466174974557,32487,29.2182454,-82.0626948
12,"Tarrant County, Texas",41.203703703703695,89000.0,305000.0,76285.0,3.171648139745912,67107,32.7513658,-97.335696
53,"Johnson County, Texas",41.203703703703695,89000.0,305000.0,76747.0,12.125063548551097,21942,32.3766071,-97.3568623
80,"Wilson County, Tennessee",41.09756097560975,117950.0,404950.0,88462.0,10.100296652069503,15015,36.1466658,-86.3119998
4,"Polk County, Florida",41.078645833333326,78871.0,270871.0,61941.0,12.075742510525117,88172,27.9448537,-81.7268789
23,"Manatee County, Florida",40.46121593291406,96500.0,335000.0,72176.0,9.829216247239287,39476,27.5213933,-82.3801566
148,"Wagoner County, Oklahoma",39.11269287395231,67478.0,240000.0,73851.0,9.702152757298734,7896,35.9542216,-95.5636238
159,"Burnet County, Texas",39.02439024390242,80000.0,285000.0,74897.0,9.110199462441642,4508,30.7763939,-98.1700016
49,"Douglas County, Colorado",38.577976761539276,162855.0,585000.0,140768.0,6.544961048836726,23583,39.3420437,-104.9468945
57,"Ocean County, New Jersey",38.438438438438425,128000.0,461000.0,81152.0,3.247163117790322,20732,39.977818,-74.3319287
101,"Jasper County, South Carolina",38.414634146341456,63000.0,227000.0,61838.0,15.073756432246995,4394,32.4048602,-81.0414726
33,"Greenville County, South Carolina",38.351282051282055,74785.0,269785.0,71833.0,5.839176556048471,30787,34.8550021,-82.3356457
95,"Adams County, Colorado",38.15789473684211,145000.0,525000.0,89849.0,2.4716618635926864,12865,39.8714085,-104.2701374
120,"Mineral County, Montana",38.121546961325976,69000.0,250000.0,55979.0,11.427320490367762,522,47.1497,-114.9627
30,"Duval County, Florida",37.93103448275863,77000.0,280000.0,70203.0,3.311137480657152,33038,30.3540073,-81.6632109
18,"Osceola County, Florida",37.339645234528916,87001.0,320000.0,63782.0,11.924855742558307,46643,28.0443842,-81.1437541
26,"Lake County, Florida",37.33535337061534,86991.0,319990.0,67637.0,9.902748720923,38246,28.7006859,-81.78994
39,"Hidalgo County, Texas",37.1875,59500.0,219500.0,48825.0,2.9346192269973557,25615,26.3530256,-98.216445
14,"Clark County, Nevada",37.06563706563705,96000.0,355000.0,70838.0,2.7116072138967837,61686,36.3467726,-115.090737
21,"Orange County, Florida",37.021276595744666,87000.0,322000.0,72129.0,2.775552340992647,39737,28.495156,-81.3111658
51,"Rockwall County, Texas",36.854545454545445,93242.0,346242.5,124291.0,20.29077117572693,22149,32.8923464,-96.4066987
123,"Currituck County, North Carolina",36.56330749354004,99050.0,369950.0,76217.0,11.223376166167924,3188,36.3918723,-75.9118432
42,"Sussex County, Delaware",36.363636363636346,80000.0,300000.0,81188.0,10.426226485464895,24880,38.6908097,-75.3691421
61,"San Joaquin County, California",36.0,135000.0,510000.0,84738.0,2.6066560169711863,20348,37.9372901,-121.2773719
118,"Lincoln County, South Dakota",35.892016806722694,85423.0,323423.0,98387.0,11.561662198391431,7590,43.2724187,-96.7387762
151,"Kane County, Utah",35.71428571428572,75000.0,285000.0,66609.0,9.515143637072669,732,37.2439691,-112.0048393
86,"Lexington County, South Carolina",35.625,57000.0,217000.0,73022.0,4.908031601744796,14481,33.8986841,-81.275054
22,"Palm Beach County, Florida",35.60035842293908,99325.0,378325.0,76713.0,2.6446815259770347,39519,26.6279798,-80.4494174
74,"Delaware County, Ohio",35.60000000000002,97900.0,372900.0,121528.0,7.65455508769972,16470,40.2317686,-82.9651045
71,"Placer County, California",35.48387096774192,165000.0,630000.0,106114.0,4.344130841259641,17634,39.1012064,-120.7650606
48,"Berkeley County, South Carolina",35.48387096774192,82500.0,315000.0,79259.0,10.229211386713772,23684,33.1595951,-79.9070461
152,"Banks County, Georgia",35.29411764705884,60000.0,230000.0,66928.0,9.446380178087495,1708,34.3378598,-83.4970026
55,"Sumter County, Florida",35.18518518518519,95000.0,365000.0,77851.0,16.328958477243077,21275,28.6689748,-82.076402
65,"Broward County, Florida",35.17241379310346,102000.0,392000.0,70834.0,0.9845126937456854,19133,26.1598074,-80.4623642
87,"Charleston County, South Carolina",35.149553650816216,98830.0,380000.0,79969.0,3.5296499869480016,14468,32.8152646,-79.7996814
1,"Collin County, Texas",35.070903675638334,102561.0,395000.0,113943.0,11.120107535677889,119623,33.1609629,-96.6060984
104,"Walton County, Florida",35.04993576727031,84579.0,325889.5,78814.0,13.711960600992867,10413,30.6204939,-86.1912678
34,"Comal County, Texas",34.92063492063494,88000.0,340000.0,92979.0,18.495163724573644,30269,29.7979704,-98.2690787
109,"Pender County, North Carolina",34.782608695652186,80000.0,310000.0,73663.0,12.998235459028024,7882,34.5294394,-77.8959525
35,"Ellis County, Texas",34.53977357156916,86003.0,335000.0,89314.0,14.672931344143848,28512,32.3347829,-96.7920233
94,"Hunt County, Texas",34.53977357156916,86003.0,335000.0,68019.0,13.059828036786556,13093,33.1161567,-96.0808922
24,"Kaufman County, Texas",34.53977357156916,86003.0,335000.0,92814.0,26.199537855103983,38550,32.601641,-96.3375126
106,"Kendall County, Texas",34.42028985507247,95000.0,371000.0,120238.0,13.466849278160709,5998,29.943885,-98.7258845
150,"Gilchrist County, Florida",34.30851063829786,64500.0,252500.0,58178.0,9.534727659098536,1705,29.7131619,-82.7975172
99,"Broadwater County, Montana",34.29752066115702,78850.0,308750.0,67927.0,17.08454810495627,1172,46.2694,-111.452
3,"Denton County, Texas",34.29489830444754,91221.0,357211.0,102711.0,10.203981198559049,93305,33.1838787,-97.1413417
75,"Bay County, Florida",33.49514563106797,69000.0,275000.0,65521.0,9.30754906173901,16244,30.2481693,-85.6593633
77,"Clark County, Washington",33.333333333333314,125000.0,500000.0,91149.0,3.1289948509710257,15812,45.7669047,-122.4940866
85,"Guadalupe County, Texas",33.313775617115795,71541.0,286290.0,86043.0,8.495828943505074,14757,29.6480061,-97.8279576
147,"Effingham County, Georgia",33.16490341596926,63010.0,253000.0,88111.0,9.777655020024852,6372,32.3419626,-81.338687
129,"Billings County, North Dakota",33.110976349302604,54600.0,219500.0,85947.0,10.825294748124321,101,47.0456305,-103.3943708
125,"Petroleum County, Montana",33.110976349302604,54600.0,219500.0,48991.0,11.022044088176358,55,47.1565,-108.3203
96,"Long County, Georgia",33.110976349302604,54600.0,219500.0,71285.0,20.430239704978476,3324,31.7704898,-81.753725
141,"Lamar County, Georgia",33.110976349302604,54600.0,219500.0,61542.0,9.984365734001827,1852,33.0649401,-84.1445952
105,"Camas County, Idaho",33.110976349302604,54600.0,219500.0,73311.0,13.653136531365305,148,43.4064019,-114.8070143
137,"Gulf County, Florida",33.0,66000.0,266000.0,55909.0,10.056806227645694,1434,29.9665252,-85.2175889
36,"Weld County, Colorado",32.968124999999986,105498.0,425498.0,90770.0,8.44269862244991,27984,40.5632344,-104.4835287
67,"Chesterfield County, Virginia",32.888888888888886,74000.0,299000.0,100149.0,5.081971251892227,18565,37.3673,-77.6078
119,"Nassau County, Florida",32.877917868376784,75466.0,305000.0,90808.0,11.501576386066276,10470,30.6624329,-81.7707334
64,"Forsyth County, Georgia",32.758620689655174,95000.0,385000.0,130909.0,7.902697102818877,19986,34.235309,-84.1335644
2,"Harris County, Texas",32.530120481927725,67500.0,275000.0,68748.0,2.119058239517173,100333,29.8119769,-95.3741247
78,"Liberty County, Texas",32.530120481927725,67500.0,275000.0,61880.0,17.077390542717794,15793,30.0856736,-94.7856262
111,"San Juan County, Colorado",31.974020138477556,78274.0,323079.5,62732.0,12.798874824191287,91,37.7633081,-107.6495508
134,"Union County, Ohio",31.707317073170742,65000.0,270000.0,104512.0,10.385987160180704,6552,40.3255937,-83.3676859
8,"Bexar County, Texas",31.672820512820522,61762.0,256762.0,65839.0,3.581144340786736,72178,29.4263987,-98.5104781
103,"Blanco County, Texas",31.363636363636374,69000.0,289000.0,82236.0,13.966285265088658,1599,30.2419274,-98.4004594
144,"Elbert County, Colorado",31.35153819564468,136050.0,570000.0,120394.0,9.879462923405555,2590,39.3138822,-104.0868973
76,"Hampshire County, Massachusetts",30.036630036630044,82000.0,355000.0,81878.0,10.835106673214383,15886,42.3432499,-72.6213339
60,"Canadian County, Oklahoma",30.000787883562936,49501.0,214500.0,81761.0,13.121324806670358,20395,35.5438102,-98.0031532
142,"Madison County, Montana",29.76190476190476,68750.0,299750.0,72487.0,9.929569333795158,860,45.4667,-111.8865
81,"Chester County, Pennsylvania",29.6875,95000.0,415000.0,117326.0,2.796028644616058,14954,39.9829308,-75.7652424
102,"Chambers County, Texas",29.560869565217388,67990.0,297990.0,102146.0,14.583466258321096,6857,29.7191125,-94.5412295
91,"Loudoun County, Virginia",28.96206639436133,123518.0,550000.0,167605.0,3.227309826001587,13642,39.0768,-77.6536
130,"Adams County, Idaho",28.205128205128204,55000.0,250000.0,56374.0,10.727190605239386,475,44.8677448,-116.4572399
58,"Frederick County, Maryland",28.19718309859155,100100.0,455100.0,116796.0,7.553540137690334,20605,39.4608481,-77.4118135
157,"Hood County, Texas",27.563781890945478,55100.0,255000.0,75545.0,9.21249818715053,5717,32.4107555,-97.828282
145,"Sanders County, Montana",27.31481481481481,59000.0,275000.0,47976.0,9.84106598169852,1226,47.6109,-115.1317
133,"Bryan County, Georgia",27.1356783919598,54000.0,253000.0,93057.0,10.425593321936816,4696,32.0034889,-81.4241017
112,"McClain County, Oklahoma",27.016574585635354,48900.0,229900.0,75474.0,12.306150689507092,5158,34.9756991,-97.481167
5,"Fort Bend County, Texas",26.582278481012665,63000.0,300000.0,105583.0,10.573881118164195,87669,29.511218,-95.7807348
127,"Waller County, Texas",26.22205902602471,57130.0,275000.0,75223.0,10.941782316487746,6268,29.9443902,-95.9955885
40,"Brazoria County, Texas",25.927686839185853,57260.0,278105.0,86197.0,6.812711349342564,25445,29.18161,-95.4993375
6,"Montgomery County, Texas",25.121076233183842,56020.0,279020.0,95241.0,13.763671634486968,86063,30.301949,-95.5065944
108,"New Kent County, Virginia",24.02307222867492,61015.0,315000.0,115627.0,13.021666738744969,3011,37.4654,-76.9643
153,"Goochland County, Virginia",22.979890310786118,62850.0,336350.0,113617.0,9.422651377992366,2342,37.7416,-77.9739
136,"Burleson County, Texas",21.746039603960398,43927.0,245927.5,62095.0,10.140255627191493,1793,30.4764878,-96.6353488
140,"Grimes County, Texas",19.293478260869563,35500.0,219500.0,61188.0,10.000000000000014,2944,30.5169334,-95.9943034
131,"Dallas County, Iowa",18.518518518518505,50000.0,320000.0,109138.0,10.499721492798614,10556,41.6744179,-94.0394437
154,"Custer County, South Dakota",18.330464716006873,42600.0,275000.0,75336.0,9.382123575284936,782,43.6726477,-103.5101597
116,"Musselshell County, Montana",12.820512820512818,25000.0,220000.0,55291.0,11.747368421052641,558,46.4219,-108.4065
